time,area_h1,area_h2,area_h3,area_h4,area_h5
5725000,204527.82663545,11368.043361593,11368.04329506,11368.043349949,11368.043357949
5750000,204485.11783306,11378.720562118,11378.720495651,11378.720550555,11378.720558611
5775000,204442.59740009,11389.350670301,11389.350603885,11389.350658806,11389.350666918
5800000,204400.22171629,11399.944591201,11399.944524842,11399.944579747,11399.944587915
5825000,204357.89626167,11410.525954826,11410.525888517,11410.525943384,11410.525951597
5850000,204315.49501295,11421.126266995,11421.126200754,11421.126255524,11421.126263772
5875000,204272.89668457,11431.775849098,11431.775782921,11431.775837566,11431.775845845
5900000,204230.03292812,11442.491788217,11442.491722108,11442.491776622,11442.491784928
5925000,204186.92381026,11453.269067683,11453.269001636,11453.269056041,11453.269064374
5950000,204143.67318011,11464.081725192,11464.081659227,11464.081713555,11464.081721918
5975000,204100.42539771,11474.893670739,11474.893604866,11474.89365914,11474.893667546
6000000,204057.3124562,11485.671906039,11485.671840276,11485.671894509,11485.671902969
6025000,204014.4168041,11496.395818977,11496.395753337,11496.395807532,11496.395816052
6050000,203971.7552312,11507.061212116,11507.061146601,11507.061200751,11507.061209326
6075000,203929.2775798,11517.680624902,11517.680559501,11517.680613586,11517.680622213
6100000,203886.87562695,11528.281113072,11528.281047772,11528.281101768,11528.281110433
6125000,203844.40484329,11538.898808974,11538.898743764,11538.89879764,11538.898806333
6150000,203801.72447325,11549.568901489,11549.56883637,11549.568890081,11549.568898808
6175000,203758.74974363,11560.312583894,11560.312518883,11560.312572416,11560.312581179
6200000,203715.48936571,11571.127678364,11571.127613457,11571.127666832,11571.127675632
6225000,203672.04111157,11581.989741879,11581.989677066,11581.989730335,11581.989739146
6250000,203628.54935222,11592.862681668,11592.862616961,11592.862670154,11592.86267899
6275000,203585.15394238,11603.71153406,11603.711469468,11603.711522612,11603.71153148
6300000,203541.95332226,11614.511689008,11614.511624535,11614.511677647,11614.511686546
6325000,203498.9859014,11625.253544142,11625.25347979,11625.253532864,11625.253541801
6350000,203456.22476831,11635.943827338,11635.943763113,11635.943816133,11635.943825101
6375000,203413.5825374,11646.604385008,11646.604320907,11646.604373848,11646.604382839
6400000,203370.92866696,11657.267852584,11657.267788595,11657.267841426,11657.267850431
6425000,203328.12318897,11667.969222073,11667.96915819,11667.969210877,11667.969219891
6450000,203285.06201082,11678.734516607,11678.734452837,11678.734505357,11678.734514375
6475000,203241.71473733,11689.571334975,11689.571271328,11689.571323671,11689.571332698
6500000,203198.13412564,11700.466487874,11700.466424357,11700.466476544,11700.466485581
6525000,203154.43267489,11711.391850519,11711.391787138,11711.391839192,11711.391848258
6550000,203110.74095462,11722.314780526,11722.314717288,11722.314769227,11722.314778338
6575000,203067.16834617,11733.207932566,11733.207869464,11733.207921319,11733.207930477
6600000,203023.77814243,11744.055483422,11744.055420464,11744.055472235,11744.055481445
6625000,202980.57699362,11754.855770553,11754.855707729,11754.855759423,11754.855768677
6650000,202937.51480767,11765.621316978,11765.621254283,11765.621305888,11765.621315181
6675000,202894.49527077,11776.376201167,11776.376138585,11776.376190072,11776.376199402
6700000,202851.40090934,11787.149791511,11787.14972903,11787.149780378,11787.149789733
6725000,202808.13092407,11797.967287826,11797.967225447,11797.967276642,11797.967286013
6750000,202764.63536643,11808.841177236,11808.841114954,11808.841166,11808.841175383
6775000,202720.9248577,11819.768804405,11819.768742229,11819.768793136,11819.768802529
6800000,202677.054843,11830.736308057,11830.736245988,11830.736296771,11830.736306185
6825000,202633.10282436,11841.724312677,11841.724250724,11841.724301403,11841.724310837
6850000,202589.15065313,11852.712355429,11852.712293594,11852.712344193,11852.712353652
6875000,202545.26891067,11863.682790981,11863.682729262,11863.6827798,11863.682789283
6900000,202501.49981874,11874.625063905,11874.625002298,11874.625052764,11874.625062293
6925000,202457.84310433,11885.539242453,11885.539180951,11885.539231343,11885.539240916
6950000,202414.25233637,11896.436934405,11896.436873,11896.436923303,11896.436932921
6975000,202370.64669952,11907.338343603,11907.338282281,11907.338332463,11907.338342134
7000000,202326.93746005,11918.265653472,11918.265592224,11918.265642262,11918.265651988
7025000,202283.06020197,11929.234968,11929.234906822,11929.23495672,11929.234966484
7050000,202238.99856447,11940.250377374,11940.250316275,11940.250366039,11940.250375843
7075000,202194.78839087,11951.302920763,11951.30285975,11951.302909378,11951.302919239
7100000,202150.49997772,11962.375024019,11962.374963104,11962.37501262,11962.375022536
